id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26758,-123.06016,Entire home/apt,134,3,114,2021-10-04,0.91,1,0,11,19-223882
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24615,-123.09462,Private room,85,2,518,2021-10-12,4.93,1,271,27,21-158318
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24401,-123.04772,Private room,45,30,54,2017-08-19,0.68,1,310,1,
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,40,30,41,2013-09-09,0.39,5,245,1,
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,,Mount Pleasant,49.26382,-123.10484,Entire home/apt,95,6,127,2021-11-02,1.63,1,208,12,21-156960
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,175,1,170,2021-10-20,2.23,1,249,17,21-156728
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,400,10,7,2019-01-05,0.18,1,0,0,18 549804 SA
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27857,-123.0899,Entire home/apt,90,30,116,2017-12-26,1.29,1,278,0,
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25808,-123.16824,Entire home/apt,131,30,57,2020-01-20,1.13,1,66,1,18-610-361
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.2719,-123.15043,Entire home/apt,90,30,209,2021-08-29,3.81,2,253,11,21-157255
236297,West End Retreat - Private Room/Bath,1238915,Adam,,West End,49.28993,-123.13879,Private room,89,1,44,2021-09-05,0.50,1,85,4,19-162496
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,31,1,2014-09-04,0.01,1,157,0,
